   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
             migration/63[395]       2         39        0.366      0.003       0.009       0.040    9.14       0
          kworker/6:2-eve[907]       2         73        1.719      0.003       0.023       0.086    9.61       0
         multipathd[1675/1668]    1668          5        0.115      0.014       0.023       0.028   10.76       0
          kworker/7:2-mm_[908]       2         63        1.231      0.004       0.019       0.067    8.25       0
         multipathd[1676/1668]    1668        149        5.912      0.018       0.039       0.075    1.99       0
            migration/106[653]       2         38        0.335      0.003       0.008       0.042   17.88       0
          kworker/8:2-mm_[909]       2        122        5.137      0.007       0.042       0.083    5.19       0
             migration/21[142]       2         38        0.427      0.008       0.011       0.041   11.57       0
          kworker/9:2-mm_[910]       2         51        0.897      0.004       0.017       0.051    8.94       0
          kworker/11:2-mm[912]       2         56        0.918      0.005       0.016       0.046    8.40       0
             migration/64[401]       2         39        0.369      0.004       0.009       0.042    9.22       0
          kworker/12:2-mm[913]       2         65        1.075      0.006       0.016       0.049    6.79       0
          kworker/13:2-mm[914]       2         43        0.842      0.005       0.019       0.049    9.91       0
            migration/107[659]       2         38        0.235      0.003       0.006       0.018    8.16       0
             migration/22[148]       2         38        0.365      0.004       0.009       0.041    9.09       0
              agent[4246/3163]    3163          7        0.075      0.002       0.010       0.025   35.41       0
             migration/65[407]       2         39        0.358      0.004       0.009       0.041    9.54       0
          kworker/18:2-mm[919]       2          9        0.131      0.007       0.014       0.019   10.78       0
              agent[4247/3163]    3163          1        0.023      0.023       0.023       0.023    0.00       0
              gmond[3992/2318]    2318       1487       36.614      0.009       0.024       0.059    0.69       0
            migration/108[665]       2         38        0.266      0.003       0.007       0.041   14.31       0
             migration/23[154]       2         38        0.374      0.004       0.009       0.042    9.04       0
            ksoftirqd/108[666]       2          1        0.032      0.032       0.032       0.032    0.00       0
                  munged[3994]       1          2        0.090      0.031       0.045       0.058   29.60       0
             munged[3995/3994]    3994          3        0.667      0.214       0.222       0.236    3.11       0
             munged[3996/3994]    3994          1        0.131      0.131       0.131       0.131    0.00       0
             migration/66[413]       2         39        0.359      0.004       0.009       0.041    9.50       0
             munged[3997/3994]    3994          1        0.083      0.083       0.083       0.083    0.00       0
          kworker/25:2-ev[926]       2        116       10.730      0.006       0.092       0.162    6.05       0
       kworker/39:1H-k[158110]       2        195        5.464      0.008       0.028       0.149    3.81       0
            migration/109[671]       2         38        0.240      0.003       0.006       0.042   16.21       0
          kworker/26:2-mm[927]       2         12        0.147      0.007       0.012       0.016    6.95       0
                  sshd[897951]   897932          4        0.425      0.078       0.106       0.131   10.97       0
             migration/24[160]       2         38        0.378      0.008       0.009       0.040    8.39       0
            dockerd[4256/2411]    2411          1        0.760      0.760       0.760       0.760    0.00       0
            dockerd[4257/2411]    2411         51        3.680      0.015       0.072       1.470   39.18       0
             migration/67[419]       2         39        0.374      0.004       0.009       0.042    9.03       0
            migration/110[677]       2         38        0.271      0.002       0.007       0.041   14.11       0
           systemd-udevd[1701]       1          1        0.127      0.127       0.127       0.127    0.00       0
             migration/25[166]       2         38        0.370      0.003       0.009       0.041    9.03       0
                  slurmd[4006]       1          1        0.142      0.142       0.142       0.142    0.00       0
             migration/68[425]       2         39        0.365      0.004       0.009       0.031    7.06       0
            migration/111[683]       2         37        0.269      0.003       0.007       0.011    5.45       0
             migration/26[172]       2         38        0.398      0.004       0.010       0.041   10.16       0
       kworker/21:0-mm[674733]       2          8        0.133      0.010       0.016       0.036   17.74       0
             migration/69[431]       2         39        0.378      0.004       0.009       0.040    8.57       0
             migration/27[178]       2         38        0.383      0.008       0.010       0.042    8.67       0
          kworker/0:2-eve[690]       2       1028      116.190      0.003       0.113       0.604    4.70       0
               khungtaskd[691]       2          1        0.241      0.241       0.241       0.241    0.00       0
             migration/70[437]       2         38        0.314      0.002       0.008       0.042   12.17       0
               kcompactd0[694]       2        290        4.644      0.004       0.016       0.055    3.78       0
               kcompactd1[695]       2        290        4.164      0.004       0.014       0.054    3.75       0
             migration/28[184]       2         42        0.354      0.003       0.008       0.044   12.50       0
               khugepaged[697]       2         46        1.469      0.001       0.031       0.162   17.25       0
             migration/71[443]       2         38        0.328      0.003       0.008       0.041   11.15       0
              agent[4541/3163]    3163          1        0.029      0.029       0.029       0.029    0.00       0
          kworker/57:2-mm[958]       2         35        0.530      0.006       0.015       0.037    9.11       0
             migration/29[191]       2         39        0.344      0.003       0.008       0.041   14.60       0
          kworker/58:2-mm[959]       2         79        1.071      0.006       0.013       0.032    4.19       0
          kworker/59:2-mm[960]       2         19        0.345      0.006       0.018       0.057   19.13       0
         kworker/19:3-ev[4288]       2          7        0.085      0.007       0.012       0.033   29.45       0
             migration/72[449]       2         38        0.383      0.007       0.010       0.041    9.36       0
        kworker/u225:0[965315]       2        517       25.124      0.004       0.048       0.933    9.28       0
             migration/30[197]       2         42        0.389      0.003       0.009       0.041   13.65       0
         kworker/111:1H-[1477]       2          2        0.144      0.071       0.072       0.072    0.46       0
             migration/73[455]       2         38        0.366      0.008       0.009       0.042    9.11       0
          kworker/67:2-ev[968]       2         32        0.416      0.007       0.013       0.034    6.87       0
              snapd[2505/2327]    2327          6        0.167      0.014       0.027       0.046   18.07       0
    containerd-shim[4297/3143]    3143         27        3.992      0.007       0.147       0.684   25.96       0
          kworker/69:2-mm[970]       2          4        0.064      0.008       0.016       0.023   19.28       0
         containerd[4298/2345]    2345          1        0.832      0.832       0.832       0.832    0.00       0
             migration/31[203]       2         40        0.338      0.003       0.008       0.041   11.64       0
          kworker/70:2-ev[971]       2         61        0.603      0.004       0.009       0.019    4.84       0
             ksoftirqd/31[204]       2          2        0.130      0.023       0.065       0.107   64.29       0
          kworker/71:2-ev[972]       2         99        5.983      0.006       0.060       0.107    4.76       0
